,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,Name
32,,31/01/2016,Australia,Sydney Cricket Ground,-,66,22.00,1/36,33,26.45,,5,,,,29 years 136 days,"Ravichandran Ashwin
            - T20 Internationals - Progressive Averages and Aggregates Summary"
33,8,09/02/2016,Sri Lanka,Maharashtra Cricket Association Stadium,31*,97,32.33,2/13,35,25.31,,5,,,,29 years 145 days,"Ravichandran Ashwin
            - T20 Internationals - Progressive Averages and Aggregates Summary"
34,,12/02/2016,Sri Lanka,JSCA International Stadium Complex,-,97,32.33,3/14,38,23.68,,5,,,,29 years 148 days,"Ravichandran Ashwin
            - T20 Internationals - Progressive Averages and Aggregates Summary"
35,,14/02/2016,Sri Lanka,Dr YS Rajasekhara Reddy Cricket Stadium,-,97,32.33,4/8,42,21.62,,5,,,,29 years 150 days,"Ravichandran Ashwin
            - T20 Internationals - Progressive Averages and Aggregates Summary"
36,,24/02/2016,Bangladesh,Shere Bangla National Stadium,-,97,32.33,1/23,43,21.65,,5,,,,29 years 160 days,"Ravichandran Ashwin
            - T20 Internationals - Progressive Averages and Aggregates Summary"
37,,27/02/2016,Pakistan,Shere Bangla National Stadium,-,97,32.33,0/21,43,22.14,,5,,,,29 years 163 days,"Ravichandran Ashwin
            - T20 Internationals - Progressive Averages and Aggregates Summary"
38,,01/03/2016,Sri Lanka,Shere Bangla National Stadium,-,97,32.33,2/26,45,21.73,1,6,,,,29 years 166 days,"Ravichandran Ashwin
            - T20 Internationals - Progressive Averages and Aggregates Summary"
39,,06/03/2016,Bangladesh,Shere Bangla National Stadium,-,97,32.33,1/14,46,21.57,,6,,,,29 years 171 days,"Ravichandran Ashwin
            - T20 Internationals - Progressive Averages and Aggregates Summary"
40,9,15/03/2016,New Zealand,Vidarbha Cricket Association Stadium,10,107,26.75,1/32,47,21.79,,6,,,,29 years 180 days,"Ravichandran Ashwin
            - T20 Internationals - Progressive Averages and Aggregates Summary"
41,,19/03/2016,Pakistan,Eden Gardens,-,107,26.75,0/12,47,22.04,1,7,,,,29 years 184 days,"Ravichandran Ashwin
            - T20 Internationals - Progressive Averages and Aggregates Summary"
42,10,23/03/2016,Bangladesh,M Chinnaswamy Stadium,5*,112,28.00,2/20,49,21.55,,7,,,,29 years 188 days,"Ravichandran Ashwin
            - T20 Internationals - Progressive Averages and Aggregates Summary"
43,,27/03/2016,Australia,Punjab Cricket Association IS Bindra Stadium,-,112,28.00,1/31,50,21.74,,7,,,,29 years 192 days,"Ravichandran Ashwin
            - T20 Internationals - Progressive Averages and Aggregates Summary"
44,,31/03/2016,West Indies,Wankhede Stadium,-,112,28.00,0/20,50,22.14,,7,,,,29 years 196 days,"Ravichandran Ashwin
            - T20 Internationals - Progressive Averages and Aggregates Summary"
45,,27/08/2016,West Indies,Central Broward Regional Park,-,112,28.00,0/36,50,22.86,1,8,,,,29 years 345 days,"Ravichandran Ashwin
            - T20 Internationals - Progressive Averages and Aggregates Summary"
46,,28/08/2016,West Indies,Central Broward Regional Park,-,112,28.00,2/11,52,22.19,,8,,,,29 years 346 days,"Ravichandran Ashwin
            - T20 Internationals - Progressive Averages and Aggregates Summary"
47,11,09/07/2017,West Indies,Sabina Park,11*,123,30.75,0/39,52,22.94,,8,,,,30 years 295 days,"Ravichandran Ashwin
            - T20 Internationals - Progressive Averages and Aggregates Summary"
48,,03/11/2021,Afghanistan,Sheikh Zayed Stadium,-,123,30.75,2/14,54,22.35,1,9,,,,35 years 47 days,"Ravichandran Ashwin
            - T20 Internationals - Progressive Averages and Aggregates Summary"
49,,05/11/2021,Scotland,Dubai International Cricket Stadium,-,123,30.75,1/29,55,22.47,,9,,,,35 years 49 days,"Ravichandran Ashwin
            - T20 Internationals - Progressive Averages and Aggregates Summary"
50,,08/11/2021,Namibia,Dubai International Cricket Stadium,-,123,30.75,3/20,58,21.66,,9,,,,35 years 52 days,"Ravichandran Ashwin
            - T20 Internationals - Progressive Averages and Aggregates Summary"
51,,17/11/2021,New Zealand,Sawai Mansingh Stadium,-,123,30.75,2/23,60,21.32,,9,,,,35 years 61 days,"Ravichandran Ashwin
            - T20 Internationals - Progressive Averages and Aggregates Summary"
52,,19/11/2021,New Zealand,JSCA International Stadium Complex,-,123,30.75,1/19,61,21.28,,9,,,,35 years 63 days,"Ravichandran Ashwin
            - T20 Internationals - Progressive Averages and Aggregates Summary"
53,12,29/07/2022,West Indies,Brian Lara Stadium,13*,136,34.00,2/22,63,20.95,,9,,,,35 years 315 days,"Ravichandran Ashwin
            - T20 Internationals - Progressive Averages and Aggregates Summary"
54,13,01/08/2022,West Indies,Warner Park,10,146,29.20,1/32,64,21.13,1,10,,,,35 years 318 days,"Ravichandran Ashwin
            - T20 Internationals - Progressive Averages and Aggregates Summary"
55,,02/08/2022,West Indies,Warner Park,-,146,29.20,0/26,64,21.53,,10,,,,35 years 319 days,"Ravichandran Ashwin
            - T20 Internationals - Progressive Averages and Aggregates Summary"
56,14,06/09/2022,Sri Lanka,Dubai International Cricket Stadium,15*,161,32.20,1/32,65,21.69,,10,,,,35 years 354 days,"Ravichandran Ashwin
            - T20 Internationals - Progressive Averages and Aggregates Summary"
57,,08/09/2022,Afghanistan,Dubai International Cricket Stadium,-,161,32.20,1/27,66,21.77,,10,,,,35 years 356 days,"Ravichandran Ashwin
            - T20 Internationals - Progressive Averages and Aggregates Summary"
58,,28/09/2022,South Africa,Greenfield International Stadium,-,161,32.20,0/8,66,21.89,,10,,,,36 years 11 days,"Ravichandran Ashwin
            - T20 Internationals - Progressive Averages and Aggregates Summary"
59,,02/10/2022,South Africa,Barsapara Cricket Stadium,-,161,32.20,0/37,66,22.45,,10,,,,36 years 15 days,"Ravichandran Ashwin
            - T20 Internationals - Progressive Averages and Aggregates Summary"
60,15,04/10/2022,South Africa,Holkar Cricket Stadium,2,163,27.17,0/35,66,22.98,1,11,,,,36 years 17 days,"Ravichandran Ashwin
            - T20 Internationals - Progressive Averages and Aggregates Summary"
61,16,23/10/2022,Pakistan,Melbourne Cricket Ground,1*,164,27.33,0/23,66,23.33,,11,,,,36 years 36 days,"Ravichandran Ashwin
            - T20 Internationals - Progressive Averages and Aggregates Summary"
62,,27/10/2022,Netherlands,Sydney Cricket Ground,-,164,27.33,2/21,68,22.96,,11,,,,36 years 40 days,"Ravichandran Ashwin
            - T20 Internationals - Progressive Averages and Aggregates Summary"
63,17,30/10/2022,South Africa,Perth Stadium,7,171,24.43,1/43,69,23.25,,11,,,,36 years 43 days,"Ravichandran Ashwin
            - T20 Internationals - Progressive Averages and Aggregates Summary"
